vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,CSH,9,0,0.5,0,0,9.5
VTS,CRD,4.5,0,0.5,1.12,0,6.12
VTS,CRD,25.5,0,0.5,5.1,0,31.1
VTS,CRD,9.5,0,0.5,2.38,0,12.38
VTS,CRD,10,0,0.5,3,4.8,18.3
VTS,CRD,9.5,0,0.5,2.85,0,12.85
VTS,CRD,4.5,0,0.5,1.35,0,6.35
VTS,CRD,6.5,0,0.5,1.3,0,8.3
VTS,CRD,12.5,0,0.5,3.12,0,16.12
VTS,CSH,24.5,0,0.5,0,0,25
VTS,CRD,24.5,0,0.5,2,0,27
VTS,CRD,9.5,0,0.5,1.15,0,11.15
VTS,CRD,32,0,0.5,2,4.8,39.3
VTS,CRD,8.5,0,0.5,1.7,0,10.7
VTS,CRD,6.5,0,0.5,1,0,8
VTS,CSH,7.5,0,0.5,0,0,8
VTS,CRD,8.5,0,0.5,1.7,0,10.7
VTS,CSH,16.5,0,0.5,0,0,17
VTS,CSH,6.5,0,0.5,0,0,7
VTS,CRD,4,0,0.5,0.8,0,5.3
VTS,CRD,4.5,0,0.5,1.35,0,6.35
VTS,CRD,43.5,0,0.5,4,0,48
VTS,CRD,25,0,0.5,4.5,0,30
VTS,CSH,9,0,0.5,0,0,9.5
VTS,CSH,11,0,0.5,0,0,11.5
VTS,CRD,18,1,0.5,3.8,4.8,28.1
VTS,CSH,10,1,0.5,0,0,11.5
VTS,CRD,23.5,1,0.5,2.5,0,27.5
VTS,CRD,5.5,1,0.5,1.3,0,8.3
VTS,CRD,16.5,1,0.5,5.25,0,23.25
VTS,CRD,6.5,0.5,0.5,3,0,10.5
VTS,CSH,13.5,1,0.5,0,0,15
VTS,CSH,14.5,1,0.5,0,0,16
VTS,CRD,52,0,0.5,5,4.8,62.3
VTS,CRD,8,0.5,0.5,1.7,0,10.7
VTS,CSH,18,1,0.5,0,0,19.5
VTS,CRD,10.5,0.5,0.5,1.5,0,13
VTS,CRD,10,0.5,0.5,2,0,13
VTS,CRD,12,0.5,0.5,1.5,0,14.5
VTS,CRD,10.5,0.5,0.5,2.2,0,13.7
VTS,CRD,50,0,0,18,0,68
VTS,CRD,9.5,0.5,0.5,2,0,12.5
VTS,CRD,5.5,0.5,0.5,1.2,0,7.7
VTS,CRD,4.5,0.5,0.5,1,0,6.5
VTS,CSH,25.5,0.5,0.5,0,0,26.5
VTS,CRD,6.5,0.5,0.5,0,0,7.5
VTS,CRD,5,0.5,0.5,1.1,0,7.1
VTS,CSH,14.5,0.5,0.5,0,0,15.5
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CRD,13,0.5,0.5,2.7,0,16.7
VTS,CRD,10.5,0.5,0.5,2.2,0,13.7
VTS,CRD,96,0,0,10,0,106
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CSH,12.5,0,0.5,0,0,13
VTS,CRD,10.5,0,0.5,2.1,0,13.1
VTS,CRD,4.5,0,0.5,1.35,0,6.35
VTS,CSH,15.5,0,0.5,0,0,16
CMT,CRD,23.5,0.5,0.5,5.86,4.8,35.16
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CRD,16.5,0,0.5,3.3,0,20.3
VTS,CRD,26,0,0.5,5.2,0,31.7
VTS,CRD,6,0,0.5,1,0,7.5
VTS,CRD,12,0,0.5,2,0,14.5
VTS,CSH,10,0,0.5,0,0,10.5
VTS,CSH,7.5,0,0.5,0,0,8
VTS,CRD,14,0,0.5,3.5,0,18
VTS,CRD,15,0,0.5,2,0,17.5
VTS,CSH,13.5,0,0.5,0,0,14
VTS,CRD,4.5,0,0.5,1,0,6
VTS,CRD,6.5,0,0.5,1.3,0,8.3
VTS,CSH,8,0,0.5,0,0,8.5
VTS,CRD,17,0,0.5,3.4,0,20.9
VTS,CSH,4.5,0,0.5,0,0,5
VTS,CRD,21.5,0,0.5,4.3,0,26.3
VTS,CRD,29.5,0,0.5,3,0,33
VTS,CRD,8.5,0,0.5,1,0,10
VTS,CSH,8,0,0.5,0,0,8.5
VTS,CRD,8.5,0,0.5,1,0,10
VTS,CRD,7.5,0,0.5,1.5,0,9.5
VTS,CRD,7,0,0.5,1,0,8.5
VTS,CSH,9,1,0.5,0,0,10.5
VTS,CSH,9.5,1,0.5,0,0,11
VTS,CRD,21,1,0.5,4.4,0,26.9
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CRD,10,1,0.5,2.75,0,14.25
VTS,CRD,5.5,0,0.5,1,0,7
VTS,CSH,4,1,0.5,0,0,5.5
VTS,CRD,15,1,0.5,1,0,17.5
VTS,CRD,30,1,0.5,0,4.8,36.3
VTS,CRD,22,1,0.5,6.9,0,30.4
VTS,CRD,10.5,1,0.5,2.3,0,14.3
VTS,CSH,7.5,1,0.5,0,0,9
VTS,CRD,7.5,0,0.5,1.5,0,9.5
VTS,CSH,15,1,0.5,0,0,16.5
VTS,CRD,38,1,0.5,8,0,47.5
VTS,CRD,19.5,1,0.5,2.5,0,23.5
VTS,CSH,6,1,0.5,0,0,7.5
VTS,CRD,5.5,1,0.5,1,0,8
VTS,CSH,9,1,0.5,0,0,10.5
